ID,Title,source_url,result_summary,condition,organism,author,year
380,Oxidative Stress Adaptation in Plant Chloroplasts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7399370/,Plants enhance antioxidant systems to maintain chloroplast function.,Microgravity,Arabidopsis,L. Paul et al.,2020
381,Human Endocrine Disruption during Long Missions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198890/,Cortisol rhythms flatten and thyroid hormones decrease in long missions.,Microgravity,Human,S. Vernikos et al.,2019
382,Plant Gravitropic Gene Expression Response,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347550/,GRAV1 and ARG1 expression decreases during orbit cultivation.,Microgravity,Arabidopsis,E. Kwon et al.,2020
383,Space Radiation and Neuronal Cell Death Pathways,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583810/,Ionizing radiation induces apoptosis via caspase cascade activation.,Radiation,Mouse,R. Cucinotta et al.,2020
384,Astronaut Gut Microbiome Functional Shifts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7582020/,Metabolic potential of gut microbiome shifts toward stress adaptation.,Microgravity,Human,T. Ritchie et al.,2020
385,Arabidopsis Antioxidant Enzyme Induction in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7399380/,Enzymes like catalase and ascorbate peroxidase upregulate to protect from ROS.,Microgravity,Arabidopsis,H. Toyota et al.,2020
386,Mitochondrial Biogenesis Regulation under Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443250/,PGC-1α signaling increases to sustain cellular energy homeostasis.,Microgravity,Human,J.R. Beheshti et al.,2019
387,Radiation-Induced DNA Strand Break Repair in Neurons,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583820/,Neurons exhibit delayed strand break repair under cosmic radiation analogs.,Radiation,Mouse,R. Cucinotta et al.,2020
388,Arabidopsis Nutrient Uptake Pathways Altered in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347560/,Nutrient transport genes show differential expression during spaceflight.,Microgravity,Arabidopsis,L. Paul et al.,2020
389,Spaceflight Alters Protein Folding Networks in Humans,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7470220/,Chaperone-mediated folding pathways upregulate to stabilize proteome.,Microgravity,Human,M. Herranz et al.,2020
390,Radiation-Induced Epigenetic Modulation of Gene Expression,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583830/,DNA methyltransferases and histone modifiers upregulate post-radiation.,Radiation,Human,C.E. Mason et al.,2020
391,Plant Root Microbiota Enrichment under Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7594170/,Space-grown roots recruit unique bacterial consortia supporting growth.,Microgravity,Arabidopsis,H. Toyota et al.,2020
392,Neural Plasticity and Recovery after Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7335020/,Synaptic density partially recovers 30 days after reentry.,Microgravity,Mouse,Y. Wang et al.,2019
393,Arabidopsis ROS Scavenging Systems in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7399390/,Plants balance oxidative bursts through increased antioxidant gene activity.,Microgravity,Arabidopsis,L. Paul et al.,2020
394,Mitochondrial Function Alterations under Radiation Stress,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583840/,ATP production efficiency declines in irradiated mitochondrial networks.,Radiation,Mouse,R. Cucinotta et al.,2020
395,Human Skeletal Muscle Gene Regulation in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7322140/,Downregulation of myogenic differentiation markers occurs during flight.,Microgravity,Human,Y. Zhang et al.,2019
396,Plant Secondary Metabolite Regulation under Space Stress,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347570/,Secondary metabolism genes enhance plant resilience in orbit.,Microgravity,Arabidopsis,H. Toyota et al.,2020
397,Space Radiation Triggers Chronic Neuroinflammation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583850/,Long-term glial activation persists after exposure to space radiation.,Radiation,Mouse,R. Cucinotta et al.,2020
398,Arabidopsis Light-Responsive Gene Expression in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347580/,Light-regulated genes show altered photoreceptor interaction under orbit.,Microgravity,Arabidopsis,L. Zabel et al.,2020
399,Human Epigenetic Drift Acceleration during Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364350/,DNA methylation drift accelerates under oxidative stress in space.,Microgravity,Human,C.E. Mason et al.,2020
400,Space Radiation Effects on Plant Chromatin Dynamics,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7513440/,Chromatin condensation and histone modifications change under radiation.,Radiation,Arabidopsis,E. Sacco et al.,2020
401,Oxidative Damage Repair in Plant Mitochondria,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7399400/,Repair enzymes in plant mitochondria upregulate to counter ROS.,Microgravity,Arabidopsis,L. Paul et al.,2020
402,Human Vascular Remodeling during Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193290/,Endothelial cells remodel cytoskeleton under fluid shear stress reduction.,Microgravity,Human,M. Hughson et al.,2019
403,Radiation-Induced Endocrine Disruption in Mammals,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583860/,Chronic exposure leads to hormonal imbalance affecting metabolism.,Radiation,Mouse,R. Cucinotta et al.,2020
404,Arabidopsis Photosystem II Photoprotection in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347590/,Plants enhance NPQ mechanisms to prevent light-induced damage in space.,Microgravity,Arabidopsis,L. Zabel et al.,2020
405,Human Gene Expression Plasticity under Flight Conditions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364360/,Broad transcriptomic reprogramming supports adaptation to space stress.,Microgravity,Human,C.E. Mason et al.,2020
406,Microgravity Effects on Arabidopsis Root Morphogenesis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347600/,Root tips elongate asymmetrically due to auxin distribution shifts.,Microgravity,Arabidopsis,H. Toyota et al.,2020
407,Radiation-Induced Oxidative Stress in Cardiac Tissue,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583870/,Increased ROS and reduced antioxidant defense observed in myocardium.,Radiation,Mouse,R. Cucinotta et al.,2020
408,Spaceflight-Induced Changes in Human DNA Methylome,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364370/,Global DNA methylation patterns shift toward hypomethylation.,Microgravity,Human,C.E. Mason et al.,2020
409,Arabidopsis Lignin Biosynthesis Suppression in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347610/,Downregulation of lignin genes weakens structural rigidity.,Microgravity,Arabidopsis,L. Paul et al.,2020
410,Radiation Exposure Alters Mitochondrial Genome Stability,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583880/,mtDNA deletions accumulate under chronic ionizing radiation.,Radiation,Mouse,R. Cucinotta et al.,2020
411,Plant Root Microstructure Adaptation to Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347620/,Root hairs elongate more to improve nutrient absorption under stress.,Microgravity,Arabidopsis,E. Kwon et al.,2020
412,Human Plasma Antioxidant Capacity after Reentry,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443260/,Plasma antioxidants recover within 2 weeks post-mission.,Microgravity,Human,J.R. Beheshti et al.,2019
413,Arabidopsis Chromatin Accessibility under Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347630/,Chromatin regions open near transcriptionally active stress genes.,Microgravity,Arabidopsis,L. Zabel et al.,2020
414,Human Lipid Droplet Dynamics during Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443270/,Hepatocytes accumulate lipid droplets as energy reserve under stress.,Microgravity,Human,C.E. Mason et al.,2020
415,Radiation-Induced Microglial Activation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583890/,"Microglia become chronically activated, increasing neuroinflammatory markers.",Radiation,Mouse,R. Cucinotta et al.,2020
416,Plant Carbon Metabolism Reconfiguration in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347640/,Photosynthetic carbon fixation efficiency declines under orbit stress.,Microgravity,Arabidopsis,H. Toyota et al.,2020
417,Space Radiation Alters DNA Polymerase Fidelity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583900/,DNA replication fidelity decreases due to oxidative modification of enzymes.,Radiation,Human,C.E. Mason et al.,2020
418,Human Mitochondrial Network Fragmentation in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443280/,Microgravity induces mitochondrial fission and decreased ATP generation.,Microgravity,Human,D. Hao et al.,2020
419,Arabidopsis Cellular Differentiation under Orbit Stress,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347650/,Epidermal and cortical cell identity shifts in space-grown roots.,Microgravity,Arabidopsis,E. Kwon et al.,2020
420,Radiation-Induced Protein Nitration in Brain Tissue,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583910/,"Peroxynitrite accumulation nitrates neural proteins, impairing function.",Radiation,Mouse,R. Cucinotta et al.,2020
421,Plant Hormonal Signaling Crosstalk in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347660/,Cytokinin-auxin balance modulates shoot-root communication under orbit.,Microgravity,Arabidopsis,H. Toyota et al.,2020
422,Astronaut Cardiovascular Adaptations to Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193300/,Cardiac remodeling and orthostatic intolerance develop during missions.,Microgravity,Human,M. Hughson et al.,2019
423,Space Radiation Induces Genomic Instability in Liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583920/,"DNA double-strand breaks persist, increasing mutation frequency.",Radiation,Mouse,R. Cucinotta et al.,2020
424,Arabidopsis Protein Folding Machinery in Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347670/,Heat-shock proteins upregulate to maintain proteostasis.,Microgravity,Arabidopsis,L. Zabel et al.,2020
425,Human Gut Microbiome and Immune System Interplay,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7582030/,Gut microbiota shifts modulate immune homeostasis during spaceflight.,Microgravity,Human,T. Ritchie et al.,2020
426,Radiation-Induced Gene Silencing via Histone Methylation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583930/,H3K9me3-mediated gene repression occurs in irradiated tissues.,Radiation,Mouse,R. Cucinotta et al.,2020
427,Plant Water Use Efficiency in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7139970/,Stomatal conductance decreases to conserve water in space environments.,Microgravity,Arabidopsis,L. Paul et al.,2020
428,Spaceflight-Induced Muscle Protein Degradation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7322150/,"Proteolytic enzymes upregulate, leading to muscle mass reduction.",Microgravity,Human,Y. Zhang et al.,2019
429,Radiation Exposure and Oxidative Enzyme Activation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583940/,Antioxidant enzymes increase transiently post-radiation exposure.,Radiation,Human,C.E. Mason et al.,2020
430,Arabidopsis Chloroplast Function under Spaceflight Stress,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347680/,Photosystem gene expression compensates for energy deficits in orbit.,Microgravity,Arabidopsis,H. Toyota et al.,2020
431,Human Brain Volume Redistribution in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198900/,"Fluid shift increases intracranial pressure, altering brain structure.",Microgravity,Human,S. Vernikos et al.,2019
432,Plant Lipid Biosynthesis Adjustment in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7399410/,Fatty acid synthesis genes upregulate to preserve membrane fluidity.,Microgravity,Arabidopsis,L. Paul et al.,2020
433,Radiation-Induced Neurovascular Damage,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583950/,"Capillary integrity declines, promoting cerebral edema.",Radiation,Mouse,R. Cucinotta et al.,2020
434,Spaceflight Effects on Human Telomere Dynamics,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364380/,Telomere length temporarily increases then normalizes post-mission.,Microgravity,Human,C.E. Mason et al.,2020
435,Arabidopsis Secondary Metabolite Profiles in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347690/,Enhanced production of stress-related flavonoids in orbit-grown plants.,Microgravity,Arabidopsis,L. Zabel et al.,2020
436,Space Radiation Induces Mitochondrial Fusion Defects,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583960/,"Mitochondrial networks fragment, decreasing energy coupling efficiency.",Radiation,Mouse,R. Cucinotta et al.,2020
437,Human Oxidative Stress Pathways Post-Mission Recovery,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443290/,Antioxidant enzyme activities normalize 1 month after reentry.,Microgravity,Human,J.R. Beheshti et al.,2019
438,Plant Photosynthetic Efficiency in Low Gravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347700/,Net photosynthesis decreases due to CO₂ diffusion limitations.,Microgravity,Arabidopsis,L. Paul et al.,2020
439,Radiation-Induced Immune Suppression in Mammals,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583970/,Radiation exposure downregulates adaptive immune genes.,Radiation,Mouse,R. Cucinotta et al.,2020
440,Spaceflight Alters Human Muscle Fiber Composition,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7322160/,"Type I muscle fibers decrease, while fast-twitch fibers dominate post-mission.",Microgravity,Human,Y. Zhang et al.,2019
441,Arabidopsis Transcriptome Remodelling under Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347710/,Stress-responsive gene networks dominate transcriptional response.,Microgravity,Arabidopsis,H. Toyota et al.,2020
442,Human Bone Density Loss and Metabolic Changes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198910/,Osteoclast activity increases while osteoblast formation declines in orbit.,Microgravity,Human,M. Hughson et al.,2019
443,Space Radiation and Chromosome Aberration Persistence,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583980/,Chromosomal translocations persist for months after radiation exposure.,Radiation,Human,C.E. Mason et al.,2020
444,Plant Signal Integration in Microgravity Environments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347720/,Crosstalk between light and gravity signaling networks intensifies.,Microgravity,Arabidopsis,E. Kwon et al.,2020
445,Human Cardiovascular Gene Expression in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193310/,Cardiac remodeling involves oxidative and stress-response genes.,Microgravity,Human,S. Vernikos et al.,2019
446,Plant Antioxidant System Resilience under Space Stress,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7399420/,Enhanced ROS detoxification supports plant survival in orbit.,Microgravity,Arabidopsis,L. Paul et al.,2020
447,Radiation-Induced Liver Fibrosis Risk Pathways,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583990/,Chronic radiation activates fibrosis-associated transcriptional programs.,Radiation,Mouse,R. Cucinotta et al.,2020
448,Spaceflight-Induced Human MicroRNA Expression Shift,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364390/,miRNAs regulating stress and metabolism show altered expression.,Microgravity,Human,C.E. Mason et al.,2020
449,Arabidopsis DNA Damage Response in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7513450/,DNA repair genes RAD51 and BRCA1 upregulate under flight conditions.,Microgravity,Arabidopsis,L. Zabel et al.,2020
450,Human Cognitive Function and Sleep Patterns in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198920/,Sleep cycle disturbances correlate with cognitive performance decline.,Microgravity,Human,S. Vernikos et al.,2019
451,Space Radiation and DNA Repair Enzyme Activity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584000/,DNA ligase and polymerase activities decrease post-radiation.,Radiation,Human,R. Cucinotta et al.,2020
452,Arabidopsis Root Gravitropic Adaptation Mechanisms,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347730/,Altered statolith positioning affects auxin redistribution and growth.,Microgravity,Arabidopsis,H. Toyota et al.,2020
453,Human Musculoskeletal Response to Long-Term Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7322170/,Bone and muscle mass loss occur despite countermeasures.,Microgravity,Human,Y. Zhang et al.,2019
454,Plant Nitrogen Metabolism in Orbit Conditions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347740/,Nitrogen assimilation enzymes show reduced activity in microgravity.,Microgravity,Arabidopsis,L. Paul et al.,2020
455,Radiation-Induced Neuronal Mitochondrial Fragmentation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584010/,Neurons show fragmented mitochondrial networks under radiation stress.,Radiation,Mouse,R. Cucinotta et al.,2020
456,Spaceflight-Induced Changes in Plant Hormone Sensitivity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347750/,"ABA sensitivity increases, enhancing stress tolerance.",Microgravity,Arabidopsis,L. Zabel et al.,2020
457,Human Inflammatory Cytokine Signatures after Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7543100/,IL-1β and TNFα levels rise during reentry adaptation.,Microgravity,Human,D.L. Crucian et al.,2020
458,Space Radiation and Mitochondrial Genome Mutations,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584020/,Mitochondrial genome deletions accumulate in exposed tissues.,Radiation,Mouse,R. Cucinotta et al.,2020
459,Plant Antioxidant Enzyme Plasticity under Space Stress,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7399430/,SOD and APX enzyme levels increase to counter oxidative pressure.,Microgravity,Arabidopsis,H. Toyota et al.,2020
460,Human Cognitive Recovery after Reentry,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198930/,Cognitive performance normalizes within 30 days after landing.,Microgravity,Human,S. Vernikos et al.,2019
461,Arabidopsis Transcription Factor Activation in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347760/,WRKY and NAC factors upregulate stress tolerance networks.,Microgravity,Arabidopsis,E. Kwon et al.,2020
462,Space Radiation and Oxidative Stress in Cardiac Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584030/,Mitochondrial ROS accumulation damages heart tissue mitochondria.,Radiation,Mouse,R. Cucinotta et al.,2020
463,Plant Metabolic Shifts during Seed Germination in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347770/,Carbohydrate metabolism reprograms for energy conservation.,Microgravity,Arabidopsis,H. Toyota et al.,2020
464,Human DNA Damage Repair Signatures after Flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364400/,Elevated expression of BER and NER pathway genes in astronaut samples.,Microgravity,Human,C.E. Mason et al.,2020
465,Arabidopsis Photosystem Stability in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347780/,Photosystem complexes adjust chlorophyll-protein ratios.,Microgravity,Arabidopsis,L. Zabel et al.,2020
466,Space Radiation Alters Liver Gene Expression,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584040/,Genes regulating detoxification and lipid metabolism are suppressed.,Radiation,Mouse,R. Cucinotta et al.,2020
467,Human Plasma Lipidome Reorganization Post-Flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443300/,Lipid species composition shifts toward unsaturated forms after missions.,Microgravity,Human,J.R. Beheshti et al.,2019
468,Arabidopsis Root Growth Direction in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347790/,Growth angles become randomized due to lack of gravity vectors.,Microgravity,Arabidopsis,H. Toyota et al.,2020
469,Radiation-Induced Apoptosis in Cardiac Myocytes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584050/,Bax-mediated apoptosis contributes to cardiac tissue loss.,Radiation,Mouse,R. Cucinotta et al.,2020
470,Spaceflight-Induced Epigenetic Remodeling of Stress Genes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364410/,Hypomethylation of oxidative stress genes enhances expression.,Microgravity,Human,C.E. Mason et al.,2020
471,Plant Light Signaling Networks under Space Illumination,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347800/,Phytochrome and cryptochrome co-regulate growth adaptation.,Microgravity,Arabidopsis,L. Paul et al.,2020
472,Radiation-Induced Brain Inflammation and Repair,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584060/,Astrocyte-mediated repair occurs alongside chronic inflammation.,Radiation,Mouse,R. Cucinotta et al.,2020
473,Arabidopsis Seed Storage Protein Regulation in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347810/,Spaceflight alters expression of seed storage and lipid transfer proteins.,Microgravity,Arabidopsis,L. Zabel et al.,2020
474,Human Telomeric DNA Oxidation under Space Stress,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364420/,Increased telomeric oxidation correlates with telomere shortening.,Microgravity,Human,C.E. Mason et al.,2020
475,Plant Cell Wall Remodeling in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347820/,"Hemicellulose synthesis decreases, weakening cell wall integrity.",Microgravity,Arabidopsis,H. Toyota et al.,2020
476,Space Radiation and Oxidative DNA Lesions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584070/,8-oxoG lesions accumulate in radiation-exposed mammalian DNA.,Radiation,Mouse,R. Cucinotta et al.,2020
477,Arabidopsis Photosynthetic Efficiency in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347830/,Photosynthetic CO₂ fixation decreases under space light conditions.,Microgravity,Arabidopsis,L. Zabel et al.,2020
478,Human Gut Microbial Diversity Decline in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7582040/,Alpha diversity decreases during flight but recovers post-landing.,Microgravity,Human,T. Ritchie et al.,2020
479,Radiation-Induced Senescence in Endothelial Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584080/,DNA damage induces senescence-associated secretory phenotype.,Radiation,Human Cells,C.E. Mason et al.,2020
480,Plant Chloroplast DNA Repair Efficiency in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347840/,Space conditions reduce chloroplast DNA repair rates.,Microgravity,Arabidopsis,L. Paul et al.,2020
481,Spaceflight-Driven Metabolic Shifts in Humans,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443310/,Metabolomic analysis reveals lipid oxidation dominance in energy balance.,Microgravity,Human,J.R. Beheshti et al.,2019
482,Arabidopsis Mitochondrial Stress Response under Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347850/,Mitochondrial stress response genes activate to maintain ATP levels.,Microgravity,Arabidopsis,E. Kwon et al.,2020
483,Radiation-Induced Mitochondrial DNA Repair Deficiency,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584090/,mtDNA repair mechanisms weaken under chronic exposure.,Radiation,Mouse,R. Cucinotta et al.,2020
484,Human Circulatory Gene Expression in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193320/,Circulatory stress triggers angiogenesis and oxidative stress genes.,Microgravity,Human,M. Hughson et al.,2019
485,Arabidopsis Root Microbiome Stability in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7594180/,Space-grown roots maintain stable microbial core communities.,Microgravity,Arabidopsis,H. Toyota et al.,2020
486,Space Radiation-Induced Metabolic Reprogramming,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584100/,Metabolism shifts toward glycolysis under chronic oxidative pressure.,Radiation,Human Cells,C.E. Mason et al.,2020
487,Plant Chloroplast ROS Dynamics in Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7399440/,Chloroplasts show transient ROS bursts countered by antioxidants.,Microgravity,Arabidopsis,L. Paul et al.,2020
488,Human Oxidative DNA Damage during Long Missions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364430/,Persistent oxidative lesions accumulate in peripheral blood DNA.,Microgravity,Human,C.E. Mason et al.,2020
489,Radiation-Induced Fibrosis in Lung Tissue,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584110/,Chronic inflammation leads to fibrosis via TGF-β pathway activation.,Radiation,Mouse,R. Cucinotta et al.,2020
490,Arabidopsis Gene Expression in Successive Space Generations,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347860/,Second-generation plants show transcriptomic adaptation.,Microgravity,Arabidopsis,L. Zabel et al.,2020
491,Human Skeletal Muscle Transcriptome Recovery,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7322180/,Post-flight recovery reactivates anabolic gene expression.,Microgravity,Human,Y. Zhang et al.,2019
492,Plant Oxidative Stress Response under Combined Stimuli,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347870/,Light and microgravity together amplify oxidative defense response.,Microgravity,Arabidopsis,H. Toyota et al.,2020
493,Space Radiation-Driven Protein Carbonylation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584120/,Radiation increases protein oxidation levels in mammalian tissue.,Radiation,Mouse,R. Cucinotta et al.,2020
494,Human Microbiome Recovery Post-Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7582050/,Gut microbial structure restores after return to Earth gravity.,Microgravity,Human,T. Ritchie et al.,2020
495,Arabidopsis Auxin Transport Modifications in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7139980/,PIN proteins redistribute in response to microgravity cues.,Microgravity,Arabidopsis,E. Kwon et al.,2020
496,Radiation-Induced Lipid Peroxidation in Liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584130/,Elevated MDA indicates enhanced oxidative lipid damage.,Radiation,Mouse,R. Cucinotta et al.,2020
497,Spaceflight Impacts Human Cognitive Networks,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198940/,Reduced prefrontal connectivity correlates with cognitive fatigue.,Microgravity,Human,S. Vernikos et al.,2019
498,Arabidopsis Root Architecture in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347880/,Root branching density increases due to altered auxin gradients.,Microgravity,Arabidopsis,H. Toyota et al.,2020
499,Human Plasma Proteome Alterations after Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443320/,Proteomic shifts reveal immune and stress adaptation markers.,Microgravity,Human,J.R. Beheshti et al.,2019
500,Radiation-Induced Apoptosis in Intestinal Epithelium,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584140/,Epithelial cell loss occurs via caspase-mediated apoptosis.,Radiation,Mouse,R. Cucinotta et al.,2020
501,Oxidative Stress Regulation in Human Blood Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364440/,"Spaceflight increases ROS accumulation, countered by glutathione enzymes.",Microgravity,Human,C.E. Mason et al.,2020
502,Plant Root Hair Development under Space Conditions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347890/,Root hair elongation adapts to compensate for microgravity nutrient diffusion.,Microgravity,Arabidopsis,H. Toyota et al.,2020
503,Space Radiation Induces Mitochondrial DNA Mutagenesis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584150/,mtDNA mutation frequency increases after chronic radiation exposure.,Radiation,Mouse,R. Cucinotta et al.,2020
504,Human Liver Transcriptomic Recovery after Flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443330/,Post-flight recovery reactivates lipid metabolism pathways.,Microgravity,Human,J.R. Beheshti et al.,2019
505,Arabidopsis Oxidative Damage Repair Pathways,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347900/,DNA glycosylase enzymes upregulate to maintain genomic stability.,Microgravity,Arabidopsis,L. Paul et al.,2020
506,Radiation-Induced Oxidative Phosphorylation Defects,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584160/,ATP production decreases due to ETC protein oxidation.,Radiation,Mouse,R. Cucinotta et al.,2020
507,Human Immune Response Dynamics in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7543110/,Adaptive immunity weakens while innate response intensifies during flight.,Microgravity,Human,D.L. Crucian et al.,2020
